NAME,S1501_C01_006E,S1501_C01_015E,S1501_C01_016E,S1501_C01_018E,S1501_C01_019E,S1501_C01_021E,S1501_C01_022E,S1501_C01_024E,S1501_C01_025E,S1501_C01_027E
Geographic Area Name,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years!!Bachelor's degree or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years!!Bachelor's degree or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years!!Bachelor's degree or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over!!Bachelor's degree or higher
ZCTA5 13748,2632,366,372,60,469,56,1025,127,766,123
ZCTA5 13750,755,142,136,40,86,29,326,9,207,64
ZCTA5 13751,137,10,72,0,0,0,41,10,24,0
ZCTA5 13752,576,177,84,29,61,6,280,101,151,41
ZCTA5 13753,3136,1136,555,197,380,136,1288,389,913,414
ZCTA5 13754,2279,345,309,56,284,48,870,150,816,91
ZCTA5 13755,877,109,83,33,111,0,417,29,266,47
ZCTA5 13756,318,56,41,0,35,0,123,35,119,21
ZCTA5 13757,988,257,128,19,175,111,369,58,316,69
ZCTA5 13760,30145,9918,4790,1873,4551,1626,11624,3858,9180,2561
ZCTA5 13774,127,0,70,0,0,0,47,0,10,0
ZCTA5 13775,1392,368,106,25,206,48,604,182,476,113
ZCTA5 13776,435,184,27,8,71,32,173,70,164,74
ZCTA5 13777,272,33,33,7,30,4,70,0,139,22
ZCTA5 13778,4003,955,566,252,577,158,1641,348,1219,197
ZCTA5 13780,638,118,102,33,67,20,348,37,121,28
ZCTA5 13782,576,143,66,12,106,24,178,43,226,64
ZCTA5 13783,1915,277,137,38,311,50,793,117,674,72
ZCTA5 13784,73,7,20,5,25,2,9,0,19,0
ZCTA5 13786,294,46,22,18,10,3,141,15,121,10
ZCTA5 13787,2442,321,196,44,299,15,1164,192,783,70
ZCTA5 13788,697,194,81,15,87,26,319,92,210,61
ZCTA5 13790,12188,3124,2817,1067,1582,342,4345,1054,3444,661
ZCTA5 13794,38,9,25,9,7,0,6,0,0,0
ZCTA5 13795,2105,473,231,103,294,79,909,188,671,103
ZCTA5 13796,1018,289,109,25,184,74,386,85,339,105
ZCTA5 13797,1496,196,214,41,287,40,601,70,394,45
ZCTA5 13801,1055,167,127,33,151,24,486,54,291,56
ZCTA5 13802,470,82,80,12,54,34,259,10,77,26
